738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Mac generado                                                            
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Redireccion web                                                         
738505843 ;       13595;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;105738;186.106.220.21 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13596;   ;resultado ;Desencriptando                          ;01072016      ;105750;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13596;   ;resultado ;Validacion                              ;01072016      ;105750;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13596;   ;resultado ;63891                                   ;01072016      ;105750;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13596;   ;resultado ;63891                                   ;01072016      ;105750;200.10.12.55   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738505843 ;       13596;   ;transacc  ;738505843                               ;01072016      ;105750;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
738505843 ;       13596;   ;resultado ;logro abrir_conexion                    ;01072016      ;105750;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
738505843 ;       13596;   ;transacc  ;738505843                               ;01072016      ;105750;200.10.12.55   ;OK ;597026007976        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738505843 ;       13596;   ;transacc  ;738505843                               ;01072016      ;105750;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13596;   ;resultado ;63891                                   ;01072016      ;105750;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       13596;   ;resultado ;63891                                   ;01072016      ;105750;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
738505843 ;       13596;   ;resultado ;datoscom                                ;01072016      ;105750;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       13596;   ;resultado ;63891                                   ;01072016      ;105750;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       13693;   ;Filtro    ;Inicio                                  ;01072016      ;110134;201.219.233.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13693;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110134;201.219.233.20 ;OK ;                    ;Archivo parseado                                                        
          ;       13693;   ;Filtro    ;Terminado                               ;01072016      ;110134;201.219.233.20 ;OK ;                    ;Datos Filtrados con exito                                               
738529424 ;       13693;   ;pago      ;inicio                                  ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Parseo realizado                                                        
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Mac generado                                                            
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Redireccion web                                                         
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13726;   ;resultado ;Desencriptando                          ;01072016      ;110231;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13726;   ;resultado ;Validacion                              ;01072016      ;110231;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
738529424 ;       13726;   ;resultado ;logro abrir_conexion                    ;01072016      ;110231;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
738529424 ;       13726;   ;resultado ;datoscom                                ;01072016      ;110231;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       13750;   ;check_mac ;                                        ;01072016      ;110325;186.106.220.21 ;OK ;                    ;Todo OK                                                                 
          ;       13758;   ;Filtro    ;Inicio                                  ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13758;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Archivo parseado                                                        
          ;       13758;   ;Filtro    ;Terminado                               ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Datos Filtrados con exito                                               
738542089 ;       13758;   ;pago      ;inicio                                  ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Parseo realizado                                                        
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Mac generado                                                            
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Redireccion web                                                         
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13782;   ;Filtro    ;Inicio                                  ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13782;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Archivo parseado                                                        
          ;       13782;   ;Filtro    ;Terminado                               ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Datos Filtrados con exito                                               
738544828 ;       13782;   ;pago      ;inicio                                  ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Parseo realizado                                                        
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Mac generado                                                            
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Redireccion web                                                         
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13790;   ;resultado ;Desencriptando                          ;01072016      ;110418;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13790;   ;resultado ;Validacion                              ;01072016      ;110418;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13790;   ;resultado ;63894                                   ;01072016      ;110418;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13790;   ;resultado ;63894                                   ;01072016      ;110418;200.10.12.55   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738544828 ;       13790;   ;transacc  ;738544828                               ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
738544828 ;       13790;   ;resultado ;logro abrir_conexion                    ;01072016      ;110418;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
738544828 ;       13790;   ;transacc  ;738544828                               ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738544828 ;       13790;   ;transacc  ;738544828                               ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13791;   ;check_mac ;                                        ;01072016      ;110418;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
738544828 ;       13790;   ;transacc  ;738544828                               ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
738544828 ;       13790;   ;resultado ;63894                                   ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
738544828 ;       13790;   ;resultado ;63894                                   ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
738544828 ;       13790;   ;resultado ;63894                                   ;01072016      ;110418;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       13793;   ;resultado ;Desencriptando                          ;01072016      ;110429;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13793;   ;resultado ;Validacion                              ;01072016      ;110429;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13793;   ;resultado ;63893                                   ;01072016      ;110429;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13793;   ;resultado ;63893                                   ;01072016      ;110429;200.10.12.55   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738542089 ;       13793;   ;transacc  ;738542089                               ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
738542089 ;       13793;   ;resultado ;logro abrir_conexion                    ;01072016      ;110429;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
738542089 ;       13793;   ;transacc  ;738542089                               ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738542089 ;       13793;   ;transacc  ;738542089                               ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13794;   ;check_mac ;                                        ;01072016      ;110429;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
738542089 ;       13793;   ;transacc  ;738542089                               ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
738542089 ;       13793;   ;resultado ;63893                                   ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
738542089 ;       13793;   ;resultado ;63893                                   ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
738542089 ;       13793;   ;resultado ;63893                                   ;01072016      ;110429;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       13940;   ;Filtro    ;Inicio                                  ;01072016      ;110629;186.106.220.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13940;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110629;186.106.220.21 ;OK ;                    ;Archivo parseado                                                        
          ;       13940;   ;Filtro    ;Terminado                               ;01072016      ;110629;186.106.220.21 ;OK ;                    ;Datos Filtrados con exito                                               
738558969 ;       13940;   ;pago      ;inicio                                  ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Parseo realizado                                                        
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Mac generado                                                            
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Datos listos para ser enviados                                          
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Redireccion web                                                         
738558969 ;       13940;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110629;186.106.220.21 ;OK ;597030906268        ;Todo OK                                                                 
          ;       13941;   ;Filtro    ;Inicio                                  ;01072016      ;110639;186.106.220.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13941;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110639;186.106.220.21 ;OK ;                    ;Archivo parseado                                                        
          ;       13941;   ;Filtro    ;Terminado                               ;01072016      ;110639;186.106.220.21 ;OK ;                    ;Datos Filtrados con exito                                               
738559951 ;       13941;   ;pago      ;inicio                                  ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Parseo realizado                                                        
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Mac generado                                                            
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Datos listos para ser enviados                                          
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Redireccion web                                                         
738559951 ;       13941;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;110639;186.106.220.21 ;OK ;597030906268        ;Todo OK                                                                 
          ;       19789;   ;Filtro    ;Inicio                                  ;01072016      ;114358;192.168.3.43   ;OK ;                    ;Inicio de filtrado                                                      
          ;       19789;   ;Filtro    ;tbk_param.txt                           ;01072016      ;114358;192.168.3.43   ;OK ;                    ;Archivo parseado                                                        
          ;       19789;   ;Filtro    ;Terminado                               ;01072016      ;114358;192.168.3.43   ;OK ;                    ;Datos Filtrados con exito                                               
738783827 ;       19789;   ;pago      ;inicio                                  ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Parseo realizado                                                        
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Mac generado                                                            
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Datos listos para ser enviados                                          
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Redireccion web                                                         
738783827 ;       19789;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114358;192.168.3.43   ;OK ;597030906268        ;Todo OK                                                                 
          ;       19854;   ;Filtro    ;Inicio                                  ;01072016      ;114518;192.168.3.43   ;OK ;                    ;Inicio de filtrado                                                      
          ;       19854;   ;Filtro    ;tbk_param.txt                           ;01072016      ;114518;192.168.3.43   ;OK ;                    ;Archivo parseado                                                        
          ;       19854;   ;Filtro    ;Terminado                               ;01072016      ;114518;192.168.3.43   ;OK ;                    ;Datos Filtrados con exito                                               
738791807 ;       19854;   ;pago      ;inicio                                  ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Parseo realizado                                                        
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Mac generado                                                            
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Datos listos para ser enviados                                          
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Redireccion web                                                         
738791807 ;       19854;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;114518;192.168.3.43   ;OK ;597030906268        ;Todo OK                                                                 
          ;       19885;   ;resultado ;Desencriptando                          ;01072016      ;114622;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       19885;   ;resultado ;Validacion                              ;01072016      ;114622;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       19885;   ;resultado ;63899                                   ;01072016      ;114622;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       19885;   ;resultado ;63899                                   ;01072016      ;114622;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738791807 ;       19885;   ;transacc  ;738791807                               ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
738791807 ;       19885;   ;resultado ;logro abrir_conexion                    ;01072016      ;114622;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
738791807 ;       19885;   ;transacc  ;738791807                               ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738791807 ;       19885;   ;transacc  ;738791807                               ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       19887;   ;check_mac ;                                        ;01072016      ;114622;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
738791807 ;       19885;   ;transacc  ;738791807                               ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
738791807 ;       19885;   ;resultado ;63899                                   ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
738791807 ;       19885;   ;resultado ;63899                                   ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
738791807 ;       19885;   ;resultado ;63899                                   ;01072016      ;114622;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       27480;   ;Filtro    ;Inicio                                  ;01072016      ;161658;192.168.3.154  ;OK ;                    ;Inicio de filtrado                                                      
          ;       27480;   ;Filtro    ;tbk_param.txt                           ;01072016      ;161658;192.168.3.154  ;OK ;                    ;Archivo parseado                                                        
          ;       27480;   ;Filtro    ;Terminado                               ;01072016      ;161658;192.168.3.154  ;OK ;                    ;Datos Filtrados con exito                                               
740421829 ;       27480;   ;pago      ;inicio                                  ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Parseo realizado                                                        
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Mac generado                                                            
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Datos listos para ser enviados                                          
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Redireccion web                                                         
740421829 ;       27480;   ;pago      ;https://webpay.transbank.cl             ;01072016      ;161658;192.168.3.154  ;OK ;597030906268        ;Todo OK                                                                 
          ;       27534;   ;resultado ;Desencriptando                          ;01072016      ;161844;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       27534;   ;resultado ;Validacion                              ;01072016      ;161844;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       27534;   ;resultado ;63906                                   ;01072016      ;161844;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       27534;   ;resultado ;63906                                   ;01072016      ;161844;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
740421829 ;       27534;   ;transacc  ;740421829                               ;01072016      ;161844;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
740421829 ;       27534;   ;resultado ;logro abrir_conexion                    ;01072016      ;161844;200.10.14.177  ; 0 ;597030906268        ;Abrio socket para conex-com                                             
740421829 ;       27534;   ;transacc  ;740421829                               ;01072016      ;161844;200.10.14.177  ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
